t,pCAMx,pCAMy,pCAMz,qCAMx,qCAMy,qCAMz,qCAMw,p1x,p1y,p1z,q1x,q1y,q1z,q1w,p2x,p2y,p2z,q2x,q2y,q2z,q2w,p3x,p3y,p3z,q3x,q3y,q3z,q3w,p4x,p4y,p4z,q4x,q4y,q4z,q4w,p5x,p5y,p5z,q5x,q5y,q5z,q5w,p6x,p6y,p6z,q6x,q6y,q6z,q6w,p7x,p7y,p7z,q7x,q7y,q7z,q7w,p8x,p8y,p8z,q8x,q8y,q8z,q8w,p9x,p9y,p9z,q9x,q9y,q9z,q9w,p10x,p10y,p10z,q10x,q10y,q10z,q10w,p11x,p11y,p11z,q11x,q11y,q11z,q11w,p12x,p12y,p12z,q12x,q12y,q12z,q12w
0.183419,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.271813,0.382031,0.017684,-0.00975978,0.00802231,0.88780102,0.46005406,-0.311513,0.394290,0.014735,-0.03155509,0.00449735,0.88974941,0.45533509,-0.340006,0.407279,0.016691,-0.02225277,0.00674315,0.88919204,0.45694295,,,,,,,,,,,,,,,,,,,,,
0.191756,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.271614,0.377142,0.016011,-0.01148777,0.01093457,0.89041095,0.45488109,-0.318763,0.392211,0.024704,-0.39151691,-0.45589419,0.71915601,0.34884042,-0.331701,0.409553,-0.005171,-0.03973805,0.00221694,0.88975274,0.45470433,,,,,,,,,,,,,,,,,,,,,
0.200093,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.271614,0.377142,0.016011,-0.01148777,0.01093457,0.89041095,0.45488109,-0.318763,0.392211,0.024704,-0.39151691,-0.45589419,0.71915601,0.34884042,-0.340920,0.410542,0.014809,-0.02267905,-0.00128229,0.89103279,0.45337025,,,,,,,,,,,,,,,,,,,,,
0.208430,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.271614,0.377142,0.016011,-0.01148777,0.01093457,0.89041095,0.45488109,0.117842,0.300207,0.387052,0.68294281,0.19980718,0.63299730,0.30492725,-0.352018,0.405467,0.020827,-0.02337157,0.02559864,0.89109448,0.45249210,,,,,,,,,,,,,,,,,,,,,
0.216767,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.267184,0.373412,0.009136,-0.02165833,-0.00375477,0.89415927,0.44720914,-0.313280,0.393973,0.026843,-0.38470026,-0.44223560,0.72783975,0.35592512,-0.360381,0.406737,0.041577,-0.00555891,0.02288773,0.88984873,0.45564733,,,,,,,,,,,,,,,,,,,,,
0.225105,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.263219,0.370228,0.002598,-0.02194570,-0.01931485,0.89596569,0.44316001,-0.314516,0.387053,0.018069,-0.03130769,0.01497784,0.89031036,0.45402968,0.117272,0.311977,0.419821,0.69369155,0.19565074,0.62252274,0.30492337,,,,,,,,,,,,,,,,,,,,,
0.233442,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.266121,0.373398,0.006430,-0.40765243,-0.42877998,0.72209126,0.35854070,-0.315268,0.380805,0.008745,-0.40157477,-0.45816489,0.72016658,0.33193785,-0.337603,0.406218,0.003446,-0.02924198,0.01741467,0.88905632,0.45653094,,,,,,,,,,,,,,,,,,,,,
0.241779,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.265901,0.372784,-0.002376,-0.41427716,-0.42756797,0.72192584,0.35267995,-0.301178,0.393839,0.003457,-0.03939691,-0.00306262,0.88791273,0.45831157,0.120937,0.303377,0.421282,0.32817261,-0.16023422,0.69487224,0.61950005,,,,,,,,,,,,,,,,,,,,,
0.250116,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.245947,0.372372,-0.018639,-0.02571933,-0.01791993,0.89117857,0.45256838,-0.297850,0.394011,-0.001470,-0.03831889,0.00673669,0.89029481,0.45371954,-0.340394,0.404379,0.003335,-0.03425342,-0.01389433,0.89345574,0.44762762,,,,,,,,,,,,,,,,,,,,,
0.258453,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.259122,0.372198,-0.006752,-0.02875182,-0.00080734,0.89128008,0.45254005,-0.301100,0.392907,0.003018,-0.03756389,0.01447620,0.88812947,0.45782687,0.124948,0.301925,0.415702,0.70411895,0.20543198,0.61569591,0.28798047,,,,,,,,,,,,,,,,,,,,,
