t,roll,seg1,seg2,load1,load2,imu1_qw,imu1_qx,imu1_qy,imu1_qz,imu2_qw,imu2_qx,imu2_qy,imu2_qz
3.419,179.87,80.88,19.87,333.560,-2.690,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.485,179.87,80.79,19.96,336.250,-2.690,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.543,179.87,80.79,19.96,336.250,-2.690,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.596,179.78,80.79,19.87,336.250,-2.690,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.661,179.87,80.79,19.87,338.940,-2.690,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.712,179.87,80.88,19.96,338.940,-2.690,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.767,179.87,80.79,19.96,333.560,-2.690,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.818,179.87,80.79,19.96,338.940,-2.690,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.859,179.87,80.79,19.96,352.390,-2.690,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.911,179.87,80.79,19.96,349.700,-2.690,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3.973,179.87,80.79,19.96,293.210,-2.690,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.046,179.87,80.88,19.96,252.860,-2.690,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.109,179.87,81.23,19.96,285.140,-2.690,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.171,179.87,82.02,19.96,341.630,0.000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.237,179.87,83.43,19.96,365.840,-2.690,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.294,179.87,85.27,19.87,320.110,-2.690,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.355,179.87,87.56,19.96,390.050,-2.690,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.408,179.87,89.58,19.96,435.780,-2.690,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.459,179.87,91.78,19.96,419.640,-2.690,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.508,179.87,94.15,19.87,395.430,-2.690,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.553,179.87,96.62,19.96,373.910,-2.690,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.605,179.87,99.43,19.87,419.640,-2.690,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.647,179.87,102.51,19.96,446.540,-5.380,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.698,179.87,105.85,19.96,459.990,-5.380,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.739,179.87,109.27,19.96,503.030,-5.380,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.790,179.87,112.62,19.96,551.450,-2.690,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.853,179.87,116.48,19.96,551.450,-2.690,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.904,179.87,119.03,19.96,513.790,-2.690,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.956,179.87,121.49,19.96,602.560,-2.690,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5.018,179.87,124.04,19.96,572.970,-2.690,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5.061,179.87,125.80,19.96,481.510,-2.690,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5.134,179.87,127.65,19.96,486.890,-2.690,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5.194,179.87,129.14,19.96,489.580,-2.690,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5.239,179.87,130.02,19.96,556.830,-2.690,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5.290,179.87,130.64,19.96,470.750,0.000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5.339,179.87,130.99,19.87,470.750,-5.380,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5.401,179.87,131.16,19.96,459.990,-2.690,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5.463,179.87,131.08,19.96,462.680,-2.690,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5.524,179.87,131.08,19.96,454.610,-2.690,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5.577,179.87,131.08,19.87,454.610,-2.690,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5.628,179.87,131.08,19.87,454.610,-5.380,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5.691,179.87,131.08,19.96,454.610,-2.690,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5.736,179.78,131.08,19.87,454.610,-2.690,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5.790,179.87,131.08,19.96,454.610,-2.690,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5.835,179.87,131.08,19.96,454.610,-2.690,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5.884,179.87,131.08,19.96,459.990,-2.690,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5.944,179.87,131.16,19.96,459.990,-2.690,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
