t,pCAMx,pCAMy,pCAMz,qCAMx,qCAMy,qCAMz,qCAMw,p1x,p1y,p1z,q1x,q1y,q1z,q1w,p2x,p2y,p2z,q2x,q2y,q2z,q2w,p3x,p3y,p3z,q3x,q3y,q3z,q3w,p4x,p4y,p4z,q4x,q4y,q4z,q4w,p5x,p5y,p5z,q5x,q5y,q5z,q5w,p6x,p6y,p6z,q6x,q6y,q6z,q6w,p7x,p7y,p7z,q7x,q7y,q7z,q7w,p8x,p8y,p8z,q8x,q8y,q8z,q8w,p9x,p9y,p9z,q9x,q9y,q9z,q9w,p10x,p10y,p10z,q10x,q10y,q10z,q10w,p11x,p11y,p11z,q11x,q11y,q11z,q11w,p12x,p12y,p12z,q12x,q12y,q12z,q12w,valid1,quality1,reason1,angle_jump1,pos_step1,valid2,quality2,reason2,angle_jump2,pos_step2,valid3,quality3,reason3,angle_jump3,pos_step3,valid4,quality4,reason4,angle_jump4,pos_step4,valid5,quality5,reason5,angle_jump5,pos_step5,valid6,quality6,reason6,angle_jump6,pos_step6,valid7,quality7,reason7,angle_jump7,pos_step7,valid8,quality8,reason8,angle_jump8,pos_step8,valid9,quality9,reason9,angle_jump9,pos_step9,valid10,quality10,reason10,angle_jump10,pos_step10,valid11,quality11,reason11,angle_jump11,pos_step11,valid12,quality12,reason12,angle_jump12,pos_step12
0.166744,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.263814,0.380216,0.007033,-0.01811887,0.00081319,0.88894892,0.45764710,-0.301701,0.387305,-0.005994,-0.04613157,0.01761064,0.88841326,0.45638100,-0.346069,0.401778,0.011299,-0.03377880,0.00256360,0.89443719,0.44590867,,,,,,,,,,,,,,,,,,,,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,1,1.000,interpolated,,,1,1.000,accepted,3.172,0.007763,1,1.000,accepted,1.551,0.026607,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,
0.175081,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.267813,0.381123,0.012358,-0.01393941,0.00441794,0.88838927,0.45885802,-0.301950,0.392469,-0.004856,-0.04534001,0.01440684,0.88591552,0.46140050,-0.348212,0.407048,0.015462,-0.03318241,0.00869645,0.89210568,0.45052276,,,,,,,,,,,,,,,,,,,,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,1,1.000,interpolated,,,1,1.000,accepted,0.746,0.005294,1,1.000,accepted,0.922,0.007050,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,
0.183419,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.271813,0.382031,0.017684,-0.00975978,0.00802231,0.88780102,0.46005406,-0.311513,0.394290,0.014735,-0.03155509,0.00449735,0.88974941,0.45533509,-0.340006,0.407279,0.016691,-0.02225277,0.00674315,0.88919204,0.45694295,,,,,,,,,,,,,,,,,,,,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,1,1.000,accepted,2.603,0.026887,1,1.000,accepted,2.112,0.021876,1,1.000,accepted,1.507,0.008301,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,
0.191756,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.271614,0.377142,0.016011,-0.01148777,0.01093457,0.89041095,0.45488109,-0.312114,0.392843,0.015402,-0.03150589,0.00659351,0.88986957,0.45507808,-0.331701,0.409553,-0.005171,-0.03973805,0.00221694,0.88975274,0.45470433,,,,,,,,,,,,,,,,,,,,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,1,1.000,accepted,0.769,0.005171,1,1.000,interpolated,,,1,1.000,accepted,2.087,0.023497,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,
0.200093,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.271614,0.377142,0.016011,-0.01148777,0.01093457,0.89041095,0.45488109,-0.312714,0.391395,0.016069,-0.03145655,0.00868966,0.88998574,0.45481903,-0.340920,0.410542,0.014809,-0.02267905,-0.00128229,0.89103279,0.45337025,,,,,,,,,,,,,,,,,,,,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,1,1.000,accepted,0.000,0.000000,1,1.000,interpolated,,,1,1.000,accepted,2.007,0.022027,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,
0.208430,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.271614,0.377142,0.016011,-0.01148777,0.01093457,0.89041095,0.45488109,-0.313315,0.389948,0.016735,-0.03140707,0.01078579,0.89009793,0.45455795,-0.352018,0.405467,0.020827,-0.02337157,0.02559864,0.89109448,0.45249210,,,,,,,,,,,,,,,,,,,,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,1,1.000,accepted,0.000,0.000000,1,1.000,interpolated,,,1,1.000,accepted,3.083,0.013607,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,
0.216767,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.267184,0.373412,0.009136,-0.02165833,-0.00375477,0.89415927,0.44720914,-0.313915,0.388500,0.017402,-0.03135745,0.01288186,0.89020614,0.45429483,-0.360381,0.406737,0.041577,-0.00555891,0.02288773,0.88984873,0.45564733,,,,,,,,,,,,,,,,,,,,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,1,1.000,accepted,2.269,0.008989,1,1.000,interpolated,,,1,1.000,accepted,2.101,0.022408,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,
0.225105,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.263219,0.370228,0.002598,-0.02194570,-0.01931485,0.89596569,0.44316001,-0.314516,0.387053,0.018069,-0.03130769,0.01497784,0.89031036,0.45402968,-0.358108,0.405783,0.036727,-0.00881991,0.02113806,0.89082640,0.45376615,,,,,,,,,,,,,,,,,,,,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,1,1.000,accepted,1.854,0.008283,1,1.000,accepted,1.212,0.008515,1,1.000,interpolated,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,
0.233442,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.266121,0.373398,0.006430,-0.40765243,-0.42877998,0.72209126,0.35854070,-0.315268,0.380805,0.008745,-0.40157477,-0.45816489,0.72016658,0.33193785,-0.355836,0.404829,0.031876,-0.01208099,0.01938789,0.89178793,0.45187658,,,,,,,,,,,,,,,,,,,,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,1,1.000,voted,69.210,0.005758,1,1.000,voted,74.199,0.011249,1,1.000,interpolated,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,
0.241779,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.256034,0.372885,-0.006104,-0.22690276,-0.23388105,0.84466827,0.42467670,-0.306559,0.387408,0.003637,-0.23158273,-0.23765511,0.84783002,0.41361061,-0.353564,0.403875,0.027026,-0.01534197,0.01763729,0.89273328,0.44997872,,,,,,,,,,,,,,,,,,,,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,1,1.000,interpolated,,,1,1.000,interpolated,,,1,1.000,interpolated,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,
